Country,iso_a2
Ascension,AC
Cocos Keeling Islands,CC
Congo (Dem. Rep.),CD
D.P.R. Korea,KP
Falkland (Malvinas) Is.,FK
Faroe Islands,FO
"Hong Kong, China",HK
Iran (I.R.),IR
Korea (Rep.),KR
Lao P.D.R.,LA
"Macao, China",MO
Neth. Antilles,AN
Norfolk Islands,NF
Northern Marianas,MP
Palestinian Authority,PS
S. Tomé & Principe,ST
Slovak Republic,SK
St. Helena,SH
St. Lucia,LC
St. Pierre & Miquelon,PM
St. Vincent and the Grenadines,VC
"Taiwan, Province of China",TW
TFYR Macedonia,MK
Tokelau,TK
Turks & Caicos Is.,TC
Viet Nam,VN
Virgin Islands (US),VI
Wallis and Futuna,WF
