"Server","URL","File","Viewed","Average size","Entry","Exit","Year"
"downloads.ice",";osgeo;4.5;osgeo-live-vm-4.5.7z","osgeo-live-vm-4.5.7z",182,"2.51 GB",119,121,2011
"osprey",";downloads;osgeo;gisvm;5.0rc6;osgeo-live-5.0-mini.iso","osgeo-live-5.0-mini.iso",4,"2.59 GB",2,2,2011
"downloads.ice",";osgeo;5.0;osgeo-live-vm-5.0.7z","osgeo-live-vm-5.0.7z",358,"2.69 GB",259,262,2011
"osprey",";downloads;osgeo;gisvm;latest;osgeo-live-mini-4.5.iso","osgeo-live-mini-4.5.iso",22,"3.10 GB"," ",4,2011
"osprey",";downloads;osgeo;gisvm;4.0.1;osgeolive-4.0.1-mini.iso","osgeolive-4.0.1-mini.iso",92,"3.15 GB",43,55,2011
"downloads.ice",";osgeo;4.5;osgeo-live-mini-4.5.iso","osgeo-live-mini-4.5.iso",59,"3.41 GB",49,46,2011
"osprey",";downloads;osgeo;gisvm;4.5;osgeo-live-mini-4.5.iso","osgeo-live-mini-4.5.iso",117,"3.41 GB",73,83,2011
"downloads.ice",";osgeo;5.0;osgeo-live-mini-5.0.iso","osgeo-live-mini-5.0.iso",677,"3.45 GB",476,483,2011
"osprey",";downloads;osgeo;gisvm;latest;osgeo-live-5.0-mini.iso","osgeo-live-5.0-mini.iso",31,"3.45 GB",11,18,2011
"osprey",";downloads;osgeo;gisvm;latest;osgeo-live-mini-5.0.iso","osgeo-live-mini-5.0.iso",7,"3.45 GB",2,4,2011
"osprey",";downloads;osgeo;gisvm;latest;osgeo-live-4.5.iso","osgeo-live-4.5.iso",74,"4.03 GB",9,33,2011
"osprey",";downloads;osgeo;gisvm;4.5;osgeo-live-4.5.iso","osgeo-live-4.5.iso",471,"4.12 GB",268,295,2011
"downloads.ice",";osgeo;4.5;osgeo-live-4.5.iso","osgeo-live-4.5.iso",289,"4.14 GB",208,207,2011
"osprey",";downloads;osgeo;gisvm;3.0rc6;Arramagong-Livedvd-v3-Final.iso","Arramagong-Livedvd-v3-Final.iso",524,"4.19 GB",312,302,2011
"downloads.ice",";osgeo;5.0;osgeo-live-5.0.iso","osgeo-live-5.0.iso",844,"4.25 GB",593,587,2011
"osprey",";downloads;osgeo;gisvm;4.0.1;osgeolive-4.0.1.iso","osgeolive-4.0.1.iso",391,"4.27 GB",133,213,2011
"osprey",";downloads;osgeo;gisvm;latest;osgeo-live-5.0.iso","osgeo-live-5.0.iso",39,"4.28 GB",4,12,2011
"downloads.ice",";osgeo;4.0.1;osgeolive-4.0.1.iso","osgeolive-4.0.1.iso",3,"4.32 GB",2,2,2011
"osprey",";downloads;osgeo;gisvm;gisvm;5.0.1;osgeo-live-5.0.1.iso","osgeo-live-5.0.1.iso",14,"4.35 GB"," ",4,2011
